nome_job,data_dia,data_hora,mes
ZFIP_VAR_341_31098,2025-04-07,08:59:02,Abril
ZFIP_VAR_341_310996,2025-04-07,08:59:02,Abril
ZFIP_VAR_341_31100,2025-04-07,08:59:02,Abril
ZFIP_VAR_341_31102,2025-04-07,09:00:02,Abril
ZFIP_VAR_341_31104,2025-04-07,09:00:02,Abril
ZFIP_VAR_341_31105,2025-04-07,09:00:02,Abril
ZFIP_VAR_341_31107,2025-04-07,09:00:02,Abril
ZFIP_VAR_341_31108,2025-04-07,09:00:02,Abril
ZFIP_VAR_341_312067,2025-04-07,09:00:02,Abril
ZFIP_VAR_341_312943,2025-04-07,09:00:02,Abril
ZFIP_VAR_341_313156,2025-04-07,09:00:02,Abril
ZFIP_VAR_341_313339,2025-04-07,09:01:03,Abril
ZFIP_VAR_341_313347,2025-04-07,09:01:03,Abril
ZFIP_VAR_341_314220,2025-04-07,09:01:03,Abril
ZFIP_VAR_341_314774,2025-04-07,09:01:04,Abril
ZFIP_VAR_341_315102,2025-04-07,09:01:03,Abril
ZFIP_VAR_341_317165,2025-04-07,09:01:04,Abril
ZFIP_VAR_341_379801,2025-04-07,09:01:03,Abril
ZFIP_VAR_341_405101,2025-04-07,09:01:03,Abril
ZFIP_VAR_341_408121,2025-04-07,08:55:07,Abril
ZFIP_VAR_353_000045,2025-04-07,09:01:03,Abril
ZFIP_VAR_353_000346,2025-04-07,09:02:07,Abril
ZFIP_VAR_422_168961,2025-04-07,09:02:07,Abril
ZFIP_VAR_422_426730,2025-04-07,09:02:07,Abril
ZFIP_VAR_422_435631,2025-04-07,09:02:07,Abril
ZFIP_VAR_422_435631017,2025-04-07,09:02:07,Abril
ZFIP_VAR_422_435631028,2025-04-07,09:02:07,Abril
ZFIP_VAR_422_469447,2025-04-07,08:57:00,Abril
ZFIP_VAR_745_02793,2025-04-07,09:01:03,Abril
ZFIP_VAR_745_27926,2025-04-07,09:02:07,Abril
ZFIP_VAR_745_27940,2025-04-07,09:03:01,Abril
ZMMI_ATUALIZA_CONVERT_EAN,2025-04-07,17:00:00,Abril
ZMM_INTERFACE_NEOGRID_PREV,2025-04-07,07:10:06,Abril
ZMMR_CALCULA_ZMBEW,2025-04-07,11:00:01,Abril
ZMMR_CALCULA_ZMBEW,2025-04-07,14:20:00,Abril
ZMMR_CALCULA_ZMBEW,2025-04-07,16:00:01,Abril
ZMMR_CALCULA_ZMBEW,2025-04-07,18:15:00,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-07,08:15:34,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-07,08:17:34,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-07,10:31:37,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-07,10:32:33,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-07,13:57:33,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-07,14:45:33,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-07,14:56:34,Abril
ZMM_REC_CHAVE_ACESSO,2025-04-07,15:52:33,Abril
ZMMR_GERA_TABELA_COM_SKBR,2025-04-07,03:00:08,Abril
ZMMR_GERA_TABELA_COM_SKBV,2025-04-07,21:00:01,Abril
ZMMR_LISTA_DOC_PRORROGADOS_DDE,2025-04-07,08:00:07,Abril
ZMMR_NOTAS_XML,2025-04-07,04:20:16,Abril
ZPROC_VL41_XML,2025-04-07,06:18:08,Abril
ZSD_DEV_INFO_NFD_CLIENTE_EMAIL,2025-04-07,16:00:02,Abril
